ページ番号,番号,よみがな,漢字,出題文,出題文よみがな
158,1,アウ,合う,彼とはなぜか馬が＿＿。,彼とはなぜか馬が＿＿
158,1,アウ,会う,街角で偶然知人に＿＿。,まちかどでぐうぜん知人に＿＿。
158,2,アケル,空ける,不要な本を処分し、本棚を＿＿。,ふような本をしょぶんし、ほんだなを＿＿。
158,2,アケル,明ける,じめじめした梅雨が＿＿。,じめじめしたつゆが＿＿。
158,2,アケル,開ける,ふろしき包みを＿＿。,ふろしきつつみを＿＿。
158,3,オウ,負う,義務を果たして責任を＿＿。,ぎむをはたしてせきにんを＿＿。
158,3,オウ,追う,現実に目をつむって理想を＿＿。,げんじつに目をつむって理想を＿＿。
158,4,オモテ,表,来客があったので＿＿で遊ぶ。,来客があったので＿＿で遊ぶ。
158,4,オモテ,面,＿＿を上げて相手を見つめる。,＿＿を上げて相手を見つめる。
158,5,カド,角,＿＿のある言い方をする。,＿＿のある言い方をする。
158,5,カド,門,笑う＿＿には福来る。,わらう＿＿には福きたる。
158,6,トトノエル,整える,雑然としていた机の上を＿＿。,ざつぜんとしていたつくえの上を＿＿。
158,6,トトノエル,調える,家の新築に合わせて家具を＿＿。,家のしんちくに合わせて家具を＿＿。
158,7,ネ,根,植物が土深く＿＿を張る。,植物が土深く＿＿をはる。
158,7,ネ,音,過酷な仕事に＿＿を上げる。,かこくな仕事に＿＿を上げる。
